Gene n.marker n.marker.test p.value
ADGRE5 135 14 4.83736468270823e-06
CLEC17A 63 3 0.287954153821477
DDX39A 68 6 1
DNAJB1 65 6 0.368756764736609
GIPC1 53 2 0.18664934571285
NDUFB7 28 4 0.463781972227262
PKN1 171 16 0.695830518473123
PTGER1 56 1 0.0246299940988666
TECR 53 2 0.0935952956421795
ZNF333 149 12 0.15442385665371
ADGRE2 158 17 0.798899446815716
ADGRE3 97 8 0.614834969578189
ADGRE5 136 11 0.110542778469048
CLEC17A 64 1 1
DDX39A 80 7 0.420018439733884
DNAJB1 48 6 0.270352714779049
GIPC1 53 3 0.262949084280658
NDUFB7 24 1 0.664834664404039
PKN1 156 15 0.16776822061477
PTGER1 61 4 1
TECR 49 7 0.519078088600487
ZNF333 129 11 0.319305688895287
ADGRE2 121 7 0.660693074526008
ADGRE3 124 8 0.0955476741958377
ADGRE5 147 11 0.480191628348297
CLEC17A 71 10 0.103370268312807
DDX39A 71 8 0.137832593943801
DNAJB1 53 2 0.589741796516001
GIPC1 51 2 0.206589024451263
NDUFB7 22 4 0.700240338344336
PKN1 166 14 0.152230519670177
PTGER1 61 1 0.301186653948526
TECR 43 6 0.205188028178111
ZNF333 146 11 0.152300117140206
ADGRE2 139 12 0.552785642263514
ADGRE3 93 8 0.303220187993105
ADGRE5 134 13 0.820038399266876
CLEC17A 68 8 0.61848338044398
DDX39A 58 8 0.911304470004958
DNAJB1 59 3 0.700266195115669
GIPC1 48 6 0.207448318244316
NDUFB7 26 5 0.19266478888924
PKN1 134 10 0.687600457946849
PTGER1 64 6 0.0625261140859306
TECR 41 4 0.736270443769117
ZNF333 162 11 0.740542822220741
ADGRE2 141 14 1
ADGRE3 90 8 0.587834539197235
ADGRE5 155 7 0.554862013797143
CLEC17A 70 5 0.315149089797032
DDX39A 75 4 0.845301202570008
DNAJB1 59 7 0.18598857408626
GIPC1 58 4 0.686387427747527
NDUFB7 26 0 1
PKN1 157 15 1
PTGER1 51 3 1
TECR 52 2 0.752530519370123
ZNF333 125 11 0.230671723878419
ADGRE2 132 6 0.732461791116221
ADGRE3 116 11 0.608587360767208
ADGRE5 133 10 1
CLEC17A 61 7 0.789688120135284
DDX39A 62 6 0.208612803130498
DNAJB1 49 1 0.140204057389928
GIPC1 47 6 0.312927978469054
NDUFB7 21 3 0.560097535955458
PKN1 145 8 0.82804684059065
PTGER1 74 7 0.336456495060435
TECR 45 5 0.793730913318139
ZNF333 143 14 0.43922422067715
ADGRE2 121 7 0.65452293596275
ADGRE3 115 11 0.755057814794715
ADGRE5 148 17 3.35873514000218e-05
CLEC17A 78 5 0.445323737351106
DDX39A 81 11 0.357721750401862
DNAJB1 56 6 0.879343814682098
GIPC1 55 5 0.10467820936819
NDUFB7 18 3 0.110588481831492
PKN1 176 7 0.502070679744026
PTGER1 63 4 0.305606802222227
TECR 50 5 0.409977061247854
ZNF333 134 8 0.308644648064705
ADGRE2 132 10 0.886414896173893
ADGRE3 109 8 0.701508486762465
ADGRE5 131 8 0.00522630477540198
CLEC17A 64 9 0.143741415730859
DDX39A 68 6 0.298033053172214
DNAJB1 41 4 0.793229147541748
GIPC1 46 1 0.580493432614166
NDUFB7 23 1 0.519488506904036
PKN1 159 16 0.330558098991121
PTGER1 69 4 0.831950435478113
TECR 52 5 0.00512532479270589
ZNF333 135 10 0.315121819739431
ADGRE2 134 11 0.506421067151265
ADGRE3 93 10 0.838538577155689
ADGRE5 148 12 0.00414878092953863
CLEC17A 49 4 0.365838763843602
DDX39A 76 7 0.231834760909685
DNAJB1 52 4 0.620050074277435
GIPC1 45 2 1
NDUFB7 31 1 0.594122547422651
PKN1 150 9 0.560664599158832
PTGER1 51 6 0.133669592684053
TECR 64 4 0.833573222853596
ZNF333 157 10 0.689502675699812
ADGRE2 132 10 0.145440725177192
ADGRE3 128 5 0.728010082843116
ADGRE5 143 17 0.000775043970256739
CLEC17A 49 2 0.42620326626331
DDX39A 75 3 0.252457688238871
DNAJB1 44 6 0.578196083122011
GIPC1 46 0 1
NDUFB7 30 1 0.140442533531337
PKN1 143 13 0.922442683415033
PTGER1 69 6 0.231964598312131
TECR 54 2 0.831232026224613
ZNF333 140 12 0.795905143300566
ADGRE2 163 11 0.804552167952857
ADGRE3 118 14 2.68010641584215e-05
ADGRE5 128 7 2.10548148172895e-05
CLEC17A 54 9 0.421346617703604
DDX39A 81 6 0.330148348149747
DNAJB1 63 2 0.492952544244024
GIPC1 57 4 0.488319470993905
NDUFB7 18 2 0.276326653086109
PKN1 159 11 0.377721799159031
PTGER1 67 7 0.366005847592194
TECR 58 6 0.00958485788907359
ZNF333 121 11 0.547837017423912
ADGRE2 130 8 0.597344682239436
ADGRE3 119 19 0.0903385558497894
ADGRE5 151 7 0.154030395121624
CLEC17A 59 1 0.50782908953335
DDX39A 69 5 0.375389256794556
DNAJB1 56 5 0.225714108072515
GIPC1 53 4 0.445063928473367
NDUFB7 29 2 0.491308162564288
PKN1 158 13 1
PTGER1 56 4 0.647823858256852
TECR 44 5 0.857609043018225
ZNF333 148 9 0.749079841886221
ADGRE2 136 10 0.00652201002015529
ADGRE3 103 9 0.329049114048591
ADGRE5 141 10 0.191898020209577
CLEC17A 61 5 1
DDX39A 68 4 0.289929848277909
DNAJB1 69 3 0.894792160847715
GIPC1 68 6 1
NDUFB7 24 2 0.0296333041595697
PKN1 140 8 0.896922077011733
PTGER1 61 6 0.393146391803935
TECR 55 6 0.162797485917481
ZNF333 153 15 0.283664168443588
ADGRE2 143 9 0.751634937440117
ADGRE3 106 8 0.00812644238058224
ADGRE5 131 13 0.0943754143921139
CLEC17A 68 4 0.1654747717708
DDX39A 60 5 0.505006439755679
DNAJB1 49 5 0.144786444002226
GIPC1 49 4 1
NDUFB7 17 0 1
PKN1 158 22 0.866025781900786
PTGER1 76 8 0.863398136306758
TECR 50 5 0.892048945153909
ZNF333 146 16 0.35955961591886
ADGRE2 120 12 0.422511493042116
ADGRE3 108 10 0.774858382457082
ADGRE5 126 8 0.238777583320662
CLEC17A 52 0 1
DDX39A 74 3 0.495113484558
DNAJB1 57 3 0.775679542101111
GIPC1 54 7 0.808250775141547
NDUFB7 22 3 0.748200810655173
PKN1 144 13 0.609960989432315
PTGER1 77 6 0.163233222088426
