ADGRE2 ADGRE3 ADGRE5 CLEC17A DDX39A DNAJB1 GIPC1 NDUFB7 PKN1 PTGER1 TECR ZNF333
0.405815665651582 0.539003526487623 0.396498250831332 0.517867851803829 0.385117144415306 0.076623280233726 0.706299753289012 0.448026078755372 0.490510904043872 0.512138666907026 1 0.731840519384847
0.915162466740124 0.0190319314151941 0.0132092137033716 1 0.783287492565353 0.732264010535956 0.870232054378352 1 1 1 0.187517725324338 1
0.6765492010535 0.284540160477785 0.140360955240001 1 1 0.793623373486292 0.44236069183665 0.2297155299737 0.826420049152922 1 1 0.343173098159764
0.247131627551627 0.395389892775235 0.0473001387877321 0.089231948816509 1 1 1 0.341258855327727 0.619910838039375 1 0.656821761800185 0.85855951067332
0.760331395162441 0.210787997942683 0.0443271901203229 0.646283345182023 1 0.910455771410268 0.706299753289012 0.514380457371837 1 1 1 0.853539402393313
1 0.0642814351668949 0.324630820957505 0.856616604039453 0.69130571004335 0.801322248582614 0.336301324162138 0.920344363738644 0.827352420240379 0.659392463506576 0.439920194531855 0.618037233257335
1 0.13892714337186 0.402903129495691 0.821828719914667 0.359542785090445 1 1 0.666907537737548 1 1 1 0.112021079683087
0.163392504778615 0.244081416174493 0.111991582703788 0.755255281215036 0.698805043581708 0.815599106916675 0.656821761800185 0.707170156819768 0.382024052029439 0.656821761800185 1 0.140360955240001
0.503498836941986 0.0078044177501686 0.141226966674023 0.641328702419432 0.764585477274604 0.341258855327727 0.656821761800185 0.656821761800185 0.421902380373234 1 1 0.201970251622515
1 0.149207844226255 0.488676693349147 0.11604167772408 0.154244020594078 0.174937130321851 1 1 0.740500567056929 0.170697230714854 1 0.357324008630477
0.75569180802528 0.19152804005379 0.0777756006102864 1 1 1 1 1 0.773950620394845 1 0.774300645323213 0.588598664514215
0.156176994144427 1 0.339147047266456 1 1 0.261725226721748 0.861444268429418 0.885678990588553 0.633223068097717 1 1 1
0.385117144415306 0.588320441406726 0.059926588494353 0.741850042509948 0.603958552802554 0.341258855327727 0.841619378906413 1 0.67008810462751 1 0.626491680323959 0.218531614398815
0.438323242102614 0.228060286608023 1 0.327240938217612 0.12829377953822 1 0.428324140093559 1 0.61066746387809 0.385746990881833 0.921274072021339 0.725695881985904
0.796319549442794 0.289017500728166 0.393625640816888 0.773763044198556 0.409771345409018 0.755354675739043 0.625928522018347 0.393664198766194 0.562010038729551 0.341900888290316 0.611670993556543 0.0214426328231229
