gene fun syn ratio
ADGRE3 101 57 1.7719298245614
ADGRE5 140 80 1.75
CLEC17A 57 22 2.59090909090909
DDX39A 69 30 2.3
DNAJB1 55 25 2.2
GIPC1 56 29 1.93103448275862
NDUFB7 27 10 2.7
PKN1 148 85 1.74117647058824
PTGER1 60 39 1.53846153846154
TECR 45 23 1.95652173913043
ZNF333 110 44 2.5
ADGRE2 122 62 1.96774193548387
ADGRE3 125 56 2.23214285714286
ADGRE5 122 64 1.90625
CLEC17A 57 30 1.9
DDX39A 61 29 2.10344827586207
DNAJB1 50 21 2.38095238095238
GIPC1 48 21 2.28571428571429
NDUFB7 18 10 1.8
PKN1 160 94 1.70212765957447
PTGER1 48 33 1.45454545454545
TECR 40 26 1.53846153846154
ZNF333 121 36 3.36111111111111
ADGRE2 150 97 1.54639175257732
ADGRE3 89 55 1.61818181818182
ADGRE5 159 63 2.52380952380952
CLEC17A 60 28 2.14285714285714
DDX39A 67 26 2.57692307692308
DNAJB1 53 26 2.03846153846154
GIPC1 54 24 2.25
NDUFB7 19 13 1.46153846153846
PKN1 135 89 1.51685393258427
PTGER1 50 33 1.51515151515152
TECR 37 31 1.19354838709677
ZNF333 114 46 2.47826086956522
ADGRE2 139 70 1.98571428571429
ADGRE3 101 56 1.80357142857143
ADGRE5 131 72 1.81944444444444
CLEC17A 68 31 2.19354838709677
DDX39A 59 31 1.90322580645161
DNAJB1 59 16 3.6875
GIPC1 62 35 1.77142857142857
NDUFB7 21 8 2.625
PKN1 148 95 1.55789473684211
PTGER1 62 42 1.47619047619048
TECR 54 22 2.45454545454545
ZNF333 112 38 2.94736842105263
ADGRE2 161 69 2.33333333333333
ADGRE3 99 56 1.76785714285714
ADGRE5 141 64 2.203125
CLEC17A 67 26 2.57692307692308
DDX39A 57 23 2.47826086956522
DNAJB1 42 24 1.75
GIPC1 45 24 1.875
NDUFB7 18 7 2.57142857142857
PKN1 153 84 1.82142857142857
PTGER1 72 36 2
TECR 41 25 1.64
ZNF333 111 45 2.46666666666667
ADGRE2 130 64 2.03125
ADGRE3 102 50 2.04
ADGRE5 125 72 1.73611111111111
CLEC17A 69 24 2.875
DDX39A 68 31 2.19354838709677
DNAJB1 59 23 2.56521739130435
GIPC1 60 30 2
NDUFB7 22 10 2.2
PKN1 125 85 1.47058823529412
PTGER1 64 35 1.82857142857143
TECR 57 21 2.71428571428571
ZNF333 101 43 2.34883720930233
